youtube_link,channel,categorization
https://www.youtube.com/watch?v=fDizQQue4-o,@GhanemAlmasarirr,anti-government 
https://www.youtube.com/watch?v=IlobwWaDAfM,@GhanemAlmasarirr,anti-government 
https://www.youtube.com/watch?v=D8QSOFmXxF4,@GhanemAlmasarirr,anti-government 
https://www.youtube.com/watch?v=yBjwGBqtJlc,@GhanemAlmasarirr,anti-government 
https://www.youtube.com/watch?v=-yDGh2FT07w,@GhanemAlmasarirr,anti-government 
https://www.youtube.com/watch?v=ymAayrHeBXk,@GhanemAlmasarirr,anti-government 
https://www.youtube.com/watch?v=f3NnQ9PTLL8,@GhanemAlmasarirr,anti-government 
https://www.youtube.com/watch?v=N5v6jh8snzw,@GhanemAlmasarirr,anti-government 
https://www.youtube.com/watch?v=BrRftNBicTA,@GhanemAlmasarirr,anti-government 
https://www.youtube.com/watch?v=EBDTsf1l1eQ,@GhanemAlmasarirr,anti-government 
https://www.youtube.com/watch?v=vcbVrlx1swY,@GhanemAlmasarirr,anti-government 
https://www.youtube.com/watch?v=4bzPa5g0bKA,@mergabtv,pro-government 
https://www.youtube.com/watch?v=1qc81UhDU8w,@mergabtv,pro-government 
https://www.youtube.com/watch?v=FXV8pLds3w0,@mergabtv,pro-government 
https://www.youtube.com/watch?v=qMqCbafdneU,@mergabtv,pro-government 
https://www.youtube.com/watch?v=ZTbRrqlu6iA,@mergabtv,pro-government 
https://www.youtube.com/watch?v=JZ8lDmToYKs,@mergabtv,pro-government 
https://www.youtube.com/watch?v=oHMnxOMGTEk,@OmarAbdulaziz,anti-government 
https://www.youtube.com/watch?v=CPMOo6RkL1o,@OmarAbdulaziz,anti-government 
https://www.youtube.com/watch?v=IsSzG57xxL8,@OmarAbdulaziz,anti-government 
https://www.youtube.com/watch?v=N8_vD5_gWjk,@OmarAbdulaziz,anti-government 
https://www.youtube.com/watch?v=QF3Ghd9qqzg,@OmarAbdulaziz,anti-government 
https://www.youtube.com/watch?v=eEluHbgWPzs,@YakathahChannel,anti-government 
https://www.youtube.com/watch?v=_0eDhBcD2NY,@annaharar,pro-government 
https://www.youtube.com/watch?v=8Swj2KxBojU,@YakathahChannel,anti-government 
https://www.youtube.com/watch?v=zMa6o9YhPgc,@bbcnewsarabic,anti-government 
https://www.youtube.com/watch?v=nCD7qUkbPgM,@annaharar,pro-government 
https://www.youtube.com/watch?v=-LnBgy6PIO0,@annaharar,pro-government 
https://www.youtube.com/watch?v=UfPn_YSVqDA,@ABOFARES511,pro-government 
https://www.youtube.com/watch?v=ThzAnrlBW20,@ABOFARES511,pro-government 
https://www.youtube.com/watch?v=_20dsK3tAsY,@ABOFARES511,pro-government 
https://www.youtube.com/watch?v=xsvkJjWWhgU,@bbcnewsarabic,anti-government 
https://www.youtube.com/watch?v=fQ_eqnJW70M,@ABOFARES511,pro-government 
https://www.youtube.com/watch?v=P0knDk4Fg-c,@t_no,pro-government 
https://www.youtube.com/watch?v=28kWKH1uHYw,@t_no,pro-government 
https://www.youtube.com/watch?v=wpg87KuEheQ,@t_no,pro-government 
https://www.youtube.com/watch?v=R2jDE34kfVw,@t_no,pro-government 
https://www.youtube.com/watch?v=_6Tezk300vw,@t_no,pro-government 
https://www.youtube.com/watch?v=4D-4lu06BI8&t=436s,@abdullahalsaleh,anti-government 
https://www.youtube.com/watch?v=3nTBgHi5xA4,@abdullahalsaleh,anti-government 
https://www.youtube.com/watch?v=bZ0XonfDev4,@abdullahalsaleh,anti-government 
https://www.youtube.com/watch?v=CIcMPbNLw0M,@abdullahalsaleh,anti-government 
https://www.youtube.com/watch?v=tCQy_iPUDhM,@rasidksa,pro-government
https://www.youtube.com/watch?v=XfPSxOnNyTw,@rasidksa,pro-government
https://www.youtube.com/watch?v=k3LeEXeXwIk,@rasidksa,pro-government
https://www.youtube.com/watch?v=I4VnbgS-w3g,@rasidksa,pro-government
https://www.youtube.com/watch?v=3eblX_BjoZc,@rasidksa,pro-government
https://www.youtube.com/watch?v=N6_eKL6AZRU,@rasidksa,pro-government 
https://www.youtube.com/watch?v=v6agZ81zENw,@abdullahalsaleh,anti-government 
https://www.youtube.com/watch?v=00iKyR7IUtk,@abdullahalsaleh,anti-government 
https://www.youtube.com/watch?v=CdJdkVsqUF4,@abdullahalsaleh,anti-government 
https://www.youtube.com/watch?v=IDGm8VNHQ8M,@abdullahalsaleh,anti-government 
https://www.youtube.com/watch?v=UqL9PCvLA4c,@KonMothqaf,pro-government
https://www.youtube.com/watch?v=pJ8PkJN8oGw,@KonMothqaf,pro-government
https://www.youtube.com/watch?v=CfxCKZ4EvuU,@KonMothqaf,pro-government
https://www.youtube.com/watch?v=qC88GjfW8sU,@KonMothqaf,pro-government
https://www.youtube.com/watch?v=i6Am6KOCUvs,@KonMothqaf,pro-government
https://www.youtube.com/watch?v=jRcZ5drRwJI,@KonMothqaf,pro-government
https://www.youtube.com/watch?v=qvYvTXlwpuI,@KonMothqaf,pro-government
https://www.youtube.com/watch?v=ZXcxKA6Rds4,@KonMothqaf,pro-government
https://www.youtube.com/watch?v=oP4e7a2keKc,@thmanyahPodcasts,neutral 